exp_id	condition	sample_day_as_int	clone_exp_id	clone_id
1	I	3	834	2081
1	I	7	1121	6334
1	I	10	859	7391
2	I	7	445	2746
3	I	6	35	489
3	I	10	45	1498
3	III	6	22	205
3	III	10	5	65
3	IV	6	18	174
3	IV	10	5	23
3	VII	6	15	105
3	VII	10	5	41
3	unknown	6	979	2215
3	unknown	10	1831	2882
4	II	3	12	19
4	II	7	18	64
4	II	11	4	16
4	III	3	1	1
4	III	7	6	33
4	III	11	3	10
4	IV	3	21	38
4	IV	7	51	185
4	IV	11	16	44
4	V	3	83	139
4	V	7	101	293
4	V	11	33	87
4	VI	7	10	52
4	VI	11	7	18
4	unknown	3	299	560
4	unknown	7	342	974
4	unknown	11	88	2895
5	II	4	77	224
5	II	7	81	481
5	II	11	87	705
5	IV	4	71	302
5	IV	7	73	694
5	IV	11	69	648
5	unknown	4	431	654
5	unknown	7	508	947
5	unknown	11	456	987
6	II	5	78	269
6	II	8	65	424
6	II	12	69	436
6	III	5	149	725
6	III	8	145	1396
6	III	12	122	2988
6	IV	5	58	251
6	IV	8	33	207
6	V	5	136	446
6	V	8	58	132
6	V	12	58	286
6	VI	5	71	223
6	VI	8	50	354
6	unknown	5	1169	1890
6	unknown	8	608	1492
6	unknown	12	584	1557
7	I	5	136	824
7	I	10	104	3103
7	II	5	94	674
7	II	10	51	285
7	III	5	203	1495
7	III	10	141	2016
7	unknown	5	1319	2746
7	unknown	10	1090	3346
8	I	4	52	182
8	I	8	30	107
8	III	4	82	358
8	III	8	75	518
8	unknown	4	497	886
8	unknown	8	139	397
