clone_exp_id	sample_day_as_int	condition	top_level_cell_type
1A3UA7877X6P301EXKVV27MCN_unknown_6	5	unknown	2
1A3UA7877X6P301EXKVV27MCN_unknown_6	8	unknown	2
1AA8FBOUVNSNCZOCXSWGISV56_unknown_7	10	unknown	2
1AD8083XP6ZPT4AEH0IWT4MZV_I_2	7	I	4
1ANHQT92O0H8JA79USLQRVWSY_I_1	3	I	2
1B58VHJC8IU3YW3F3HC6JK5KD_unknown_6	8	unknown	3
1B58VHJC8IU3YW3F3HC6JK5KD_unknown_6	12	unknown	2
1B69OJHH3CCIV02G48EZFMXZ_I_1	7	I	3
1BAXN5TKD90W69E2K9HJPOYA7_I_1	3	I	1
1BAXN5TKD90W69E2K9HJPOYA7_I_1	7	I	1
1BAXN5TKD90W69E2K9HJPOYA7_I_1	10	I	2
1BJ9UTPYB7FQAWUOT56Y47YAG_I_1	3	I	5
1BKZR63Y0DE5POFHI2CCXOM0D_I_1	7	I	1
1BKZR63Y0DE5POFHI2CCXOM0D_I_1	10	I	1
1BMDUW9ODZ7W3LBMK9L4Z4889_unknown_5	4	unknown	2
1BQINBBLNPBUHHMFCH4C8IYQ0_unknown_5	7	unknown	2
1C78DSV7CU3SHUYH9W4JODR0C_unknown_5	4	unknown	2
1CJB09SEQVDDTZQ6Q17DBVX6F_unknown_5	7	unknown	2
1CU2SSMLRZ5Y0IRE9DSB6PTB5_unknown_7	5	unknown	3
1CVERW30I293SHYAUCJEGDKK5_unknown_5	4	unknown	3
1CVERW30I293SHYAUCJEGDKK5_unknown_5	11	unknown	1
1CYG7KO39USMV1P8H3PXRCTL8_I_1	3	I	1
1CYG7KO39USMV1P8H3PXRCTL8_I_1	7	I	5
1CYG7KO39USMV1P8H3PXRCTL8_I_1	10	I	13
1DGVWHA5O8LSFC1TDOZRRI7KB_I_1	7	I	3
1DGVWHA5O8LSFC1TDOZRRI7KB_I_1	10	I	17
1DO69ZQI2QJR16GELNQRZR5JL_I_1	7	I	3
1DPBZCF8U1TBAQ8DL4WHE7ZR4_I_1	3	I	1
1DPBZCF8U1TBAQ8DL4WHE7ZR4_I_1	7	I	2
1E1TTEUIWSPEMH26AGGT3DT3Z_I_1	3	I	1
1E1TTEUIWSPEMH26AGGT3DT3Z_I_1	10	I	1
1E3H9E5T1P0T5EKR9DMHLVPO5_unknown_7	5	unknown	3
1E3H9E5T1P0T5EKR9DMHLVPO5_unknown_7	10	unknown	1
